12552,4,6,1987,4,"RM","F",16,9
26704,7,30,1997,8,"PP","M",20,14
4434,5,4,1981,9,"DM","F",36,44
24153,6,14,1996,4,"DM","M",38,46
5,7,16,1977,3,"DM","M",35,
3,7,16,1977,2,"DM","F",37,
1,7,16,1977,2,"NL","M",32,
33881,4,17,2002,9,"PP","M",23,
17180,2,25,1990,13,"RM","M",16,10
8,7,16,1977,1,"DM","M",37,
2,7,16,1977,3,"NL","M",33,
11,7,16,1977,5,"DS","F",53,
9,7,16,1977,1,"DM","F",34,
6510,8,16,1982,14,"OL","M",20,40
943,6,8,1978,8,"SS",,,
10,7,16,1977,6,"PF","F",20,
27374,12,29,1997,15,"NL","F",33,139
10673,8,19,1985,17,"NL","F",32,165
33871,4,17,2002,4,"DM","M",36,52
8585,11,12,1983,16,"PM","M",21,21
22737,9,24,1995,14,"PF","F",17,7
17170,2,25,1990,3,"SH","M",30,80
6036,6,28,1982,2,"NL","F",33,120
3487,11,9,1980,14,"OT","M",20,22
31791,3,3,2001,1,"PB","F",24,25
20657,2,19,1993,17,"DM","F",32,40
3956,3,9,1981,1,"OT","M",,25
18108,12,15,1990,12,"DM","F",36,41
26693,7,30,1997,6,"DO","M",37,52
1407,11,4,1978,12,"DM","M",36,32
9992,2,17,1985,1,"DM","F",35,36
16028,5,10,1989,10,"RM","M",16,8
24613,10,13,1996,8,"DO","M",37,50
13479,9,27,1987,7,"PE","F",21,15
7912,5,15,1983,8,"DO","M",36,45
10930,10,13,1985,11,"DM","F",37,42
2814,3,22,1980,2,"DM","F",,44
11399,4,13,1986,1,"DS","M",53,157
34136,5,16,2002,8,"PP","F",22,18
8850,2,4,1984,14,"DO","F",36,48
17435,4,26,1990,6,"OL","F",20,10
6301,7,27,1982,22,"DS","M",,134
734,4,8,1978,6,"DM","M",36,
32056,5,26,2001,22,"DM","F",36,
15355,1,10,1989,19,"PM","F",21,28
29507,4,18,1999,4,"DM","M",36,48
4221,4,6,1981,2,"DS","M",,95
1672,3,31,1979,4,"DM","F",34,23
10257,4,21,1985,8,"OL","F",19,35
18842,7,12,1991,17,"DO","M",36,48
27427,1,31,1998,17,"DM","F",35,45
24878,12,19,1996,4,"DM","F",36,42
8177,8,15,1983,14,"DM","F",32,44
22329,6,8,1995,14,"DM","F",37,52
22798,9,24,1995,6,"OL","F",18,28
11664,7,3,1986,19,"OT","M",18,14
20249,8,29,1992,17,"PF","F",14,8
28834,11,21,1998,18,"PB","M",26,43
17700,7,22,1990,2,"DO","F",38,54
999,6,9,1978,18,"DM","F",34,40
34870,10,6,2002,3,"PB","F",26,36
32321,7,22,2001,8,"DO","M",35,
7035,11,21,1982,23,"",,,
26754,7,30,1997,11,"DM","M",36,53
15620,2,5,1989,4,"DM","M",37,40
29772,6,13,1999,3,"PB","F",26,21
13071,7,25,1987,20,"DM","M",,49
21656,6,15,1994,9,"",,,
30241,1,10,2000,11,"DM","M",35,43
27692,3,29,1998,17,"OT","M",20,28
2406,1,16,1980,2,"NL","F",33,184
25143,2,9,1997,11,"DM","M",35,45
19576,1,8,1992,2,"OT","M",19,22
8442,10,15,1983,13,"CB",,,
5893,5,21,1982,13,"PE","M",19,22
34197,6,15,2002,2,"PP","M",23,22
23063,12,3,1995,15,"PF","M",15,9
6362,8,15,1982,17,"DM","F",35,35
20514,10,19,1992,11,"DM","M",36,45
29099,1,17,1999,4,"DM","M",36,50
3813,1,31,1981,24,"PE","F",19,25
12398,3,2,1987,1,"DM","M",35,42
1264,9,4,1978,15,"PP","F",20,15
35135,11,10,2002,9,"OL","M",21,21
18434,2,17,1991,5,"RM","M",16,10
27019,10,25,1997,1,"DO","F",34,45
15885,4,1,1989,9,"DM","F",36,44
13336,8,26,1987,11,"NL","F",32,162
30506,3,5,2000,3,"OT","M",20,29
5220,1,24,1982,20,"AB",,,
13805,11,22,1987,1,"DS","M",53,128
11256,3,8,1986,22,"DM","M",38,45
19841,3,8,1992,14,"DM","F",35,43
8707,12,8,1983,22,"DS","M",50,130
3140,7,21,1980,22,"DS","F",50,108
25877,5,11,1997,3,"RM","F",17,18
34462,7,13,2002,19,"PB","F",27,20
23328,1,28,1996,9,"DM","M",38,56
17761,8,16,1990,1,"DO","F",36,53
31913,3,25,2001,8,"PP","M",22,20
6627,9,19,1982,21,"PF","F",16,6
4078,4,5,1981,22,"DS","F",50,140
12663,4,25,1987,14,"DM","M",36,52
21248,11,14,1993,15,"PF","F",16,7
18699,5,14,1991,11,"PP","M",20,16
27284,11,22,1997,7,"RM","M",20,14
1998,8,23,1979,9,"OT","F",20,30
16150,6,3,1989,19,"PE","M",20,21
10583,7,24,1985,8,"DO","M",35,34
24735,11,17,1996,4,"PF","F",15,8
25204,3,15,1997,17,"DM","M",37,47
14070,2,21,1988,1,"OL","M",20,34
11521,5,11,1986,3,"OT","M",21,21
31240,8,25,2000,18,"PB","M",26,34
20106,7,3,1992,17,"PP","M",21,14
3405,11,8,1980,13,"OT","M",20,22
34727,9,10,2002,8,"PP","M",21,19
9441,8,1,1984,9,"OT","M",19,23
18026,11,11,1990,8,"DM","F",36,35
32178,6,25,2001,12,"PP","F",22,15
6892,10,24,1982,20,"PF","M",17,6
1325,10,7,1978,9,"DS","F",50,129
4343,4,6,1981,6,"DO","F",,52
24062,6,13,1996,23,"RM","M",17,11
32647,9,22,2001,17,"DM","M",36,49
30098,12,5,1999,21,"PB","M",26,39
4812,9,29,1981,24,"DM","F",38,44
27549,3,1,1998,21,"RM","F",,
2263,11,18,1979,23,"PE","F",18,18
10848,10,12,1985,17,"DM","F",38,44
8299,9,10,1983,12,"DO","F",35,51
25469,4,12,1997,12,"PP","F",22,18
8768,12,9,1983,11,"NL","M",32,162
22920,10,29,1995,3,"PP","F",20,17
31505,11,25,2000,1,"OT","F",20,27
14804,8,10,1988,2,"NL","M",31,132
3670,12,16,1980,8,"DS","M",50,
20840,5,22,1993,1,"DO","M",37,50
34992,11,9,2002,17,"OT","F",19,30
29425,3,15,1999,10,"",,,
18291,1,12,1991,3,"DM","M",35,40
1590,1,29,1979,6,"DM","M",,50
15742,3,13,1989,5,"RM","F",17,13
32912,10,14,2001,4,"OT","M",22,25
7626,3,15,1983,8,"DS","F",50,113
16211,6,4,1989,13,"PE","F",21,21
30363,2,6,2000,3,"OT","M",21,26
13662,11,21,1987,16,"RM","M",15,7
22247,4,29,1995,22,"SU",,,
11113,12,7,1985,6,"DO","M",,
28283,7,19,1998,14,"DM","M",36,45
25734,5,10,1997,2,"DO","M",36,52
20167,7,30,1992,1,"OL","F",20,30
9033,4,10,1984,15,"PM","M",21,17
23185,12,22,1995,13,"PF","F",20,9
6484,8,16,1982,1,"DM","F",35,34
15069,11,5,1988,23,"PE","F",20,26
23654,4,14,1996,21,"PF","F",16,10
21105,9,16,1993,18,"PF","F",15,9
29690,5,16,1999,16,"PP","F",21,20
4404,5,3,1981,11,"DM","F",36,44
18556,3,14,1991,9,"OL","F",20,36
12989,7,1,1987,7,"RM","F",17,14
1855,7,3,1979,21,"OT","M",20,27
27610,3,2,1998,11,"DM","M",35,
16476,9,4,1989,8,"DM","F",36,42
13927,1,24,1988,5,"DO","F",34,45
22512,7,21,1995,11,"PP","M",23,20
5811,4,29,1982,1,"DM","F",33,39
11847,9,7,1986,13,"CB",,,
20432,10,18,1992,7,"RM",,,
34584,7,14,2002,11,"DO","F",34,45
9298,7,3,1984,12,"NL","M",32,126
3731,1,11,1981,16,"",,,
6749,10,23,1982,13,"DS","M",49,123
35053,11,9,2002,21,"PB","F",25,25
32504,8,26,2001,6,"PB","M",26,24
7218,1,12,1983,12,"DS","F",49,110
29955,11,6,1999,19,"OT","M",20,21
4669,7,8,1981,9,"DS","F",52,131
13254,8,26,1987,1,"PM","M",21,16
2120,10,25,1979,14,"DM","M",35,
27875,5,28,1998,2,"PP","M",22,21
11174,12,8,1985,3,"NL","M",33,225
25326,3,16,1997,9,"DM","F",36,39
40,7,18,1977,20,"DM","M",36,
33911,4,17,2002,15,"PP","F",22,18
6076,6,29,1982,12,"DS","M",,115
14661,7,14,1988,12,"RM","M",17,11
23246,1,27,1996,21,"PM","F",20,31
31831,3,4,2001,11,"PB","F",26,29
20697,3,17,1993,12,"DM","F",34,42
3996,3,9,1981,9,"DS","F",,79
18148,12,16,1990,9,"DM","M",37,47
35318,12,8,2002,6,"PB","M",26,45
18617,4,21,1991,14,"DM","M",35,49
32769,9,23,2001,13,"PB","M",27,32
7483,3,14,1983,12,"OL","F",20,29
16068,5,11,1989,15,"PE","F",21,25
24653,10,13,1996,14,"OT","M",18,13
13519,10,24,1987,24,"PE","M",21,22
30689,5,1,2000,8,"DO","F",36,47
28140,6,28,1998,16,"PP","M",23,12
2854,4,17,1980,1,"DS","M",52,122
22573,8,26,1995,17,"DM","M",37,53
11439,5,10,1986,24,"DM","F",37,39
25591,4,13,1997,16,"RM","M",16,12
8890,2,5,1984,11,"DM","F",36,33
17475,4,26,1990,8,"DO","F",34,28
26060,6,10,1997,17,"DM","M",35,50
23511,3,23,1996,19,"PF","M",16,
32096,5,27,2001,4,"DM","F",35,49
20962,6,19,1993,11,"DM","M",38,51
15395,1,11,1989,9,"RM","F",16,10
4261,4,6,1981,24,"DO","M",,49
1712,3,31,1979,11,"DM","M",38,46
30016,11,7,1999,11,"PP","M",22,18
18882,7,13,1991,13,"PF","F",15,6
2181,11,17,1979,2,"DM","F",36,49
16333,7,29,1989,19,"SH","F",23,30
24918,12,19,1996,4,"DM","M",37,51
33503,2,10,2002,6,"PB","F",26,35
8217,8,16,1983,5,"OL","M",22,37
30954,7,1,2000,21,"PB","F",24,30
14253,3,20,1988,19,"OT","F",20,30
22838,10,28,1995,17,"PF","M",15,10
11704,7,4,1986,11,"NL","M",30,113
9155,5,13,1984,15,"PM","F",21,17
26325,7,9,1997,5,"NL","F",32,147
1039,7,7,1978,11,"DM","F",37,48
34910,10,6,2002,9,"DM","F",35,41
9624,10,20,1984,12,"OL","M",20,26
32361,7,22,2001,5,"",,,
7075,11,22,1982,12,"DO","M",35,48
15660,2,5,1989,15,"OL","F",22,33
4526,6,4,1981,4,"PF","M",15,6
21696,7,9,1994,8,"DM","F",37,41
30281,1,10,2000,5,"RM","F",15,19
19147,10,11,1991,3,"PP","F",16,28
13580,10,25,1987,7,"RM","M",16,10
27732,3,29,1998,1,"PP","M",21,20
2446,2,24,1980,17,"DO","F",35,52
8482,10,16,1983,11,"DM","F",34,37
17067,1,30,1990,10,"RM","F",18,12
14518,5,15,1988,8,"DM","M",37,50
